"Product","Category","2-Day","2-Week","2-Month"
"Beauty Blotters Oil-Absorbing Tissues","fallback","Hey [Name], I wanted to check in — how are you liking the Beauty Blotters Oil-Absorbing Tissues so far?","Hey [Name], how are you? Just checking in — I hope you're loving everything! Let me know if you have any questions or need anything!","Hey [Name]! It's been a couple months — are you running low on the Beauty Blotters Oil-Absorbing Tissues? I'd love to help you restock!"
"Belara Body Lotion","body","Hey [Name], I wanted to check in — how are you enjoying the Belara Body Lotion?","Hey [Name], how are you? Just checking in — I hope you're loving your body care! Let me know if you have any questions or need anything!","Hey [Name]! Getting close to finishing your Belara Body Lotion? Let me know when you're ready for more!"
"Belara Bundle","set","Hey [Name], I wanted to check in — how is your new Belara Bundle treating you?","Hey [Name], how are you? Just checking in — the key is morning and night, consistency is everything with a regimen! How are you feeling about it so far? Let me know if you have any questions or need anything!","Hey [Name]! Two months in — I hope you're seeing amazing results! Ready to restock your Belara Bundle?"
"Belara Eau de Parfum","fragrance","Hey [Name], I wanted to check in — have you gotten any compliments on your new scent yet?","Hey [Name], how are you? Just checking in — I hope your perfume is becoming your signature scent! Let me know if you have any questions or need anything!","Hey [Name]! How are you doing on the Belara Eau de Parfum? Ready for another bottle?"
"Bella Belara Eau de Parfum","fragrance","Hey [Name], I wanted to check in — have you gotten any compliments on your new scent yet?","Hey [Name], how are you? Just checking in — I hope your perfume is becoming your signature scent! Let me know if you have any questions or need anything!","Hey [Name]! How are you doing on the Bella Belara Eau de Parfum? Ready for another bottle?"
"Beyond Ultimate TimeWise Miracle Set - Combination/Oily","skincare","Hey [Name], I wanted to check in — how are you enjoying the skincare routine?","Hey [Name], how are you? Just checking in — the trick with a skincare routine is sticking with it consistently! Week 2-3 is when most people really start noticing a difference! Let me know if you have any questions or need anything!","Hey [Name]! You're probably getting close to finishing your Beyond Ultimate TimeWise Miracle Set — want me to get another one on the way before you run out?"
"Beyond Ultimate TimeWise Miracle Set - Normal/Dry","skincare","Hey [Name], I wanted to check in — how are you enjoying the skincare routine?","Hey [Name], how are you? Just checking in — the trick with a skincare routine is sticking with it consistently! Week 2-3 is when most people really start noticing a difference! Let me know if you have any questions or need anything!","Hey [Name]! You're probably getting close to finishing your Beyond Ultimate TimeWise Miracle Set — want me to get another one on the way before you run out?"
"Citrus Lilac Satin Hands Pampering Set","body","Hey [Name], I wanted to check in — how are you enjoying the Citrus Lilac Satin Hands Pampering Set?","Hey [Name], how are you? Just checking in — I hope you're loving your body care! Let me know if you have any questions or need anything!","Hey [Name]! Getting close to finishing your Citrus Lilac Satin Hands Pampering Set? Let me know when you're ready for more!"
"Cityscape Cologne Spray","fragrance","Hey [Name], I wanted to check in — have you gotten any compliments on your new scent yet?","Hey [Name], how are you? Just checking in — I hope your cologne is becoming your signature scent! Let me know if you have any questions or need anything!","Hey [Name]! How are you doing on the Cityscape Cologne Spray? Ready for another bottle?"
"Clear Proof Acne System Set","set","Hey [Name], I wanted to check in — how is your new Clear Proof Acne System Set treating you?","Hey [Name], how are you? Just checking in — the key is morning and night, consistency is everything with a regimen! How are you feeling about it so far? Let me know if you have any questions or need anything!","Hey [Name]! Two months in — I hope you're seeing amazing results! Ready to restock your Clear Proof Acne System Set?"
